"","(Intercept)","pcs_J","scs","tcs"
"LTP348",-0.143391205340112,-0.0120003131980249,-0.0367276082521006,-0.118765809312897
"LTP349",0.0856765785263932,0.00344147179205599,0.0192953415029375,-0.283447232241422
"LTP352",0.0612067927009254,-0.0145657498262508,0.00667305559310613,0.0543916725876827
"LTP353",-0.0373816270338734,-0.0351381263162493,-0.0255655990339553,-0.185062326112594
"LTP354",-0.0570677836872002,-0.0257280476008051,-0.0430179785255933,-0.0540744496263667
"LTP355",0.103017602022113,-0.0943314956998825,0.0110160293753939,0.0558240295016808
"LTP356",-0.478217525038904,0.0198991508626578,-0.0520079989363589,0.922188293226632
"LTP357",-0.0115643365826202,-0.00347905828192488,0.00245644542297434,-0.0330370441522948
"LTP358",0.215165497301265,0.0360715884442551,0.0683899770676978,-0.203657129731169
"LTP359",-0.158378630138171,0.124115997954061,0.0530040877147208,0.372741658842885
"LTP360",0.00562744513168732,-0.0105280089888612,-0.000870877261563082,-0.233284548061078
"LTP361",0.0180268181009646,0.0508254954260625,0.0160967267322041,0.139043278903179
"LTP362",-0.0766202765268508,-0.0262665337619401,-0.01319859430987,-0.151516452354413
"LTP363",0.0790753576079961,-0.029613700215994,0.0131361876767837,-0.12652674655876
"LTP364",-0.198810145332375,-0.0249658714177487,-0.04354447381651,0.223397155434364
"LTP365",0.172595640827655,0.0133198024088643,0.0518320699300341,-0.1298623001789
"LTP366",-0.0641219873176928,0.0389508232796164,0.00556996034404725,-0.0739035366902249
"LTP367",-0.320350283811997,-0.0391533027485598,-0.0730207328249881,0.754054172457088
"LTP368",0.035543796052729,0.0128677456484571,0.00859653777741196,-0.067431627441606
"LTP369",-0.0502494726255014,-0.0439808775233768,-0.0347474767628146,0.517929457036437
"LTP370",0.143196814230697,3.83594932656245e-05,0.0169664258123246,-0.134028245462372
"LTP371",0.0218671666404383,-0.0286612652374188,0.00182050033064644,0.328218785091604
"LTP372",-0.273914628869743,0.0834556445160859,0.00142927483544836,0.498727293426919
"LTP373",0.106675863300272,0.00721911924133139,0.0202822160375239,-0.155213796272025
"LTP374",0.212947906672803,0.0606398658515063,0.0793383513411972,-0.152928420178934
"LTP375",0.0950401546565759,0.0158759129115188,0.0195440085151261,0.138139103199227
"LTP376",-0.0182874361169352,0.00341255810432469,0.0103327746318982,-0.24875111720583
"LTP377",-0.20164009440287,0.0242303112132429,-0.0186114539083019,0.111474898259388
"LTP378",-0.0962668779590583,0.0112958405119928,-0.0269370330249032,-0.0856976253979796
"LTP379",-0.0239390213392363,0.000842617458476315,-0.00206063182402679,0.479059016821931
"LTP381",0.0427577483240739,0.0450998637410268,0.0346124011797695,-0.256199021135774
"LTP382",-0.0363610834296103,-0.0323604422818482,-0.0195465276059256,-0.14159553160076
"LTP383",-0.0743796231280739,0.0276498027990566,0.00914793758201184,-0.150864791190982
"LTP384",0.0225291730415259,0.0162015874368459,-0.00609042363987565,0.172359438979237
"LTP385",0.0385068366416899,0.0147467488007041,-0.0130156141581363,-0.190492522689896
"LTP386",0.00233322670027418,-0.00950985913528406,0.000618632373742933,-0.25384250161479
"LTP387",0.448389324222423,0.0119875677263479,0.0510233335044273,-0.411544939627324
"LTP388",-0.0719768183591052,0.0241644120486742,0.00744393271299383,0.283405787480972
"LTP389",0.193297159890138,-0.0104523717856865,0.0497908915346771,-0.119922839140754
"LTP390",-0.085237283291146,0.0102866183104034,-0.000522952426226429,-0.186065957285232
"LTP391",0.0871202226546813,0.0997233834176556,0.101891030907974,-0.0908788512907664
"LTP392",-0.0348261024671137,0.0150031976821882,-0.000338965213202708,-0.116033556635905
"LTP393",-0.00719128044207789,-0.0124144235082641,-0.00737643494768542,-0.255527498470979
