subject,exp_type,experiment,r_pcs
R1334T,intracranial,FR1,0.2683142677224604
R1336T,intracranial,FR1,0.5821148514169993
R1337E,intracranial,FR1,0.4101840358203268
R1338T,intracranial,FR1,0.4857137133692024
R1339D,intracranial,FR1,0.9137005630538138
R1341T,intracranial,FR1,0.6713572183924423
R1342M,intracranial,FR1,0.7186043900765042
R1345D,intracranial,FR1,0.41355360560268223
R1346T,intracranial,FR1,0.5585650627997213
R1347D,intracranial,FR1,0.4453808173023926
R1349T,intracranial,FR1,0.6879367675861746
R1350D,intracranial,FR1,0.6304226095485906
R1351M,intracranial,FR1,0.4332380873122324
R1354E,intracranial,FR1,0.6380601595742273
R1355T,intracranial,FR1,0.12330944835739181
R1357M,intracranial,FR1,0.20923360257014442
R1358T,intracranial,FR1,0.43114831630917283
R1361C,intracranial,FR1,-0.08932367519251846
R1363T,intracranial,FR1,0.5537722657101167
R1364C,intracranial,FR1,0.5494414077170305
R1367D,intracranial,FR1,0.7122064258710163
R1368T,intracranial,FR1,0.7126417565555063
R1373T,intracranial,FR1,0.5250524400649104
R1374T,intracranial,FR1,0.640409810207568
R1375C,intracranial,FR1,0.8711392486152492
R1376D,intracranial,FR1,-0.5356322618422484
R1377M,intracranial,FR1,0.6793367112978614
R1378T,intracranial,FR1,0.6185598213381815
R1379E,intracranial,FR1,0.2913464760401434
R1380D,intracranial,FR1,-0.2072668950695303
R1381T,intracranial,FR1,0.2625268598631539
R1382T,intracranial,FR1,0.2868470620292415
R1383J,intracranial,FR1,0.5368496835777821
R1384J,intracranial,FR1,0.6859189763255201
R1385E,intracranial,FR1,0.20927771869629272
R1386T,intracranial,FR1,0.46165479103208173
R1387E,intracranial,FR1,0.685075682350046
R1390M,intracranial,FR1,0.7406908144100173
R1391T,intracranial,FR1,0.3149519872294577
R1393T,intracranial,FR1,0.13766830616023165
R1394E,intracranial,FR1,0.7041934103385529
R1395M,intracranial,FR1,0.5022657623972795
R1396T,intracranial,FR1,0.9322727006505159
R1397D,intracranial,FR1,0.04840717565902142
R1398J,intracranial,FR1,0.5044939959142929
R1401J,intracranial,FR1,-0.1817751178699606
R1402E,intracranial,FR1,0.7258122529166714
R1404E,intracranial,FR1,0.5210246410056735
R1405E,intracranial,FR1,0.7146377574324188
R1406M,intracranial,FR1,-0.22193587902281023
R1409D,intracranial,FR1,0.33143263818767954
R1412M,intracranial,FR1,0.6313664532712563
R1413D,intracranial,FR1,0.48800585466096824
R1414E,intracranial,FR1,0.4858088151803822
R1415T,intracranial,FR1,-0.13893399118012045
R1416T,intracranial,FR1,0.7634691689631767
R1420T,intracranial,FR1,0.12194876210446569
R1421M,intracranial,FR1,0.5577645301110927
R1422T,intracranial,FR1,0.7935343371999917
R1423E,intracranial,FR1,-0.019466416428539482
R1425D,intracranial,FR1,0.5555453544753692
R1427T,intracranial,FR1,0.30021051604179366
R1428T,intracranial,FR1,0.3124420235346986
R1431J,intracranial,FR1,0.39803969584976406
R1433E,intracranial,FR1,0.9793467906031861
R1436J,intracranial,FR1,0.929414614634632
R1438M,intracranial,FR1,0.4272296012883513
R1441T,intracranial,FR1,0.5962399071762858
R1443D,intracranial,FR1,0.9120928063936675
R1446T,intracranial,FR1,
R1447M,intracranial,FR1,-0.3108668979794439
R1448T,intracranial,FR1,0.3435188867684824
R1449T,intracranial,FR1,0.7001370212361675
R1454M,intracranial,FR1,0.596118010279067
R1457T,intracranial,FR1,0.9203820707867882
R1459M,intracranial,FR1,0.3376818557991979
R1460M,intracranial,FR1,0.7085105579489342
R1462M,intracranial,FR1,0.5897753081259474
R1463E,intracranial,FR1,0.698286381551127
R1466J,intracranial,FR1,0.7471841011110028
R1467M,intracranial,FR1,0.18177197359666802
R1542J,intracranial,FR1,0.48731003376630505
R1565T,intracranial,FR1,0.209423781909937
R1569T,intracranial,FR1,0.39707989836386326
R1571T,intracranial,FR1,0.9061662092001165
R1572T,intracranial,FR1,0.6312562654997945
R1573T,intracranial,FR1,0.615300931225384
R1686S,intracranial,IFR1,0.7295256006265934
R1710J,intracranial,IFR1,0.34099892373618845
R1720S,intracranial,IFR1,0.6340235709477565
R1721J,intracranial,IFR1,0.34779061013052537
R1724J,intracranial,IFR1,0.504055460684656
R1725J,intracranial,IFR1,0.6842688664739373
R1729J,intracranial,IFR1,0.6831031460338948
R1730A,intracranial,IFR1,0.34082543138004395
R1733A,intracranial,IFR1,-0.4917158413234087
R1739A,intracranial,IFR1,0.34957271760159
R1740H,intracranial,IFR1,0.43059956294727836
R1741A,intracranial,IFR1,0.38114365265980604
R1742J,intracranial,IFR1,0.27143485777091203
R1743H,intracranial,IFR1,0.2711843574706939
R1744A,intracranial,IFR1,0.6179489416203336
R1745H,intracranial,IFR1,0.768553197707581
R1746A,intracranial,IFR1,0.5770117743481336
R1747A,intracranial,IFR1,0.5238425432543312
TJ001,intracranial,pyFR,0.5924466800193673
TJ003,intracranial,pyFR,0.6051892323542812
TJ004,intracranial,pyFR,0.14202305041940583
TJ005,intracranial,pyFR,0.5426380073141195
TJ006,intracranial,pyFR,1.0
TJ010,intracranial,pyFR,0.675832801633575
TJ013,intracranial,pyFR,0.6525712662274541
TJ015,intracranial,pyFR,0.7786069020467256
TJ016,intracranial,pyFR,0.40476537810503216
TJ017,intracranial,pyFR,-0.09804342108183928
TJ018,intracranial,pyFR,0.46438907206366276
TJ019,intracranial,pyFR,0.5632365739428236
TJ020,intracranial,pyFR,0.7000543318759499
TJ021,intracranial,pyFR,0.5020181535731769
TJ022,intracranial,pyFR,0.5010226442771678
TJ024,intracranial,pyFR,0.7769975482984363
TJ025,intracranial,pyFR,0.6529855638600557
TJ027,intracranial,pyFR,0.7875176823446379
TJ028,intracranial,pyFR,0.5885843603926955
TJ029,intracranial,pyFR,0.4674000232480681
TJ030,intracranial,pyFR,0.49491776804878346
TJ031,intracranial,pyFR,0.6721809696922758
TJ032,intracranial,pyFR,0.5594841886521833
TJ033,intracranial,pyFR,0.6482750271886865
TJ034,intracranial,pyFR,0.8798810507300233
TJ035,intracranial,pyFR,0.23371789333000023
TJ036,intracranial,pyFR,0.3628260747278795
TJ037,intracranial,pyFR,0.4589432369839626
TJ038,intracranial,pyFR,0.6850247729543201
TJ039,intracranial,pyFR,0.45099945828402876
TJ040,intracranial,pyFR,-0.06643208734845098
TJ041,intracranial,pyFR,0.23836325412082335
TJ042,intracranial,pyFR,0.17881361236130985
TJ043,intracranial,pyFR,0.346239519279703
TJ044,intracranial,pyFR,0.5402533181085029
TJ045,intracranial,pyFR,0.7829733454376979
TJ047,intracranial,pyFR,0.31578281011164533
TJ048,intracranial,pyFR,0.38530685682988225
TJ049,intracranial,pyFR,0.48383303207233563
TJ050,intracranial,pyFR,0.35782249208084055
TJ051,intracranial,pyFR,0.6209948528552769
TJ052,intracranial,pyFR,0.7780364156743809
TJ053,intracranial,pyFR,-0.03080205273123937
TJ054,intracranial,pyFR,0.6218627528576454
TJ055,intracranial,pyFR,0.6871442921802406
TJ056,intracranial,pyFR,-0.2681337735426273
TJ057,intracranial,pyFR,0.5174868917355215
TJ058,intracranial,pyFR,0.7991118816187778
TJ059,intracranial,pyFR,0.6549058923908972
TJ060,intracranial,pyFR,0.632669617352533
TJ061,intracranial,pyFR,-0.32132176517536426
