subject,exp_type,experiment,r_pcs_v1,r_pcs_v2,r_tcs,r_scs
LTP259,scalp,ltpFR2,0.1331723786253082,0.04538089710416648,-0.011389142441116922,0.006224842279678044
LTP260,scalp,ltpFR2,-0.046108029793195504,-0.06153928064279142,-0.08612119582394383,-0.04754210959754213
LTP265,scalp,ltpFR2,-0.03634103539138509,0.0987230374229002,0.25597970994034897,-0.02190812893950305
LTP269,scalp,ltpFR2,-0.05184552441724999,-0.026845548985599186,0.09248174840047055,-0.002338112135965438
LTP273,scalp,ltpFR2,0.11139427777071473,0.11441034069594443,0.12737907114391636,-5.969677919573127e-05
LTP274,scalp,ltpFR2,-0.07389910638366477,0.04491407877898802,-0.0306316409709868,-0.057555833498330836
LTP278,scalp,ltpFR2,0.016931028132098683,0.05893255426910366,0.030578962183860678,-0.04290714111873096
LTP279,scalp,ltpFR2,0.018287735276443708,-0.002034005869124261,-0.009464351466308092,-0.02638487972527188
LTP280,scalp,ltpFR2,0.04287111833373702,0.07137790102763797,-0.19816492428847965,-0.01914115007537147
LTP281,scalp,ltpFR2,0.19519693297732682,0.13435086981011324,0.0552061053564571,-0.18308201902217625
LTP283,scalp,ltpFR2,-0.08508313444545258,-0.1546265113713882,-0.026108306172433624,0.043062052229128234
LTP285,scalp,ltpFR2,-0.0056355101055090475,-0.00012951332718878048,-0.059541456130498986,0.015287861473972333
LTP287,scalp,ltpFR2,0.020433415031391507,0.01807736958504542,0.007684577451753669,0.08713285634649963
LTP290,scalp,ltpFR2,-0.10065991880964682,-0.03322296633489824,0.06850262357415632,-0.06107951761440181
LTP293,scalp,ltpFR2,-0.015556460393555684,0.04340071549599727,0.06580439460551543,0.025529556974554033
LTP295,scalp,ltpFR2,0.0335011740696195,0.09135829092161271,0.01448480301912015,0.05403460748449529
LTP296,scalp,ltpFR2,0.04502470357131272,0.045190558323127294,0.05017166264249706,0.028386567543786944
LTP297,scalp,ltpFR2,0.012157491599336535,-0.017389534999138017,0.17655748824320375,0.07036825918417158
LTP298,scalp,ltpFR2,-0.01310297547641425,-0.02490637519792407,0.44055996476435794,-0.15718248577948482
LTP299,scalp,ltpFR2,-0.014458628549058234,0.02023846750733515,0.04993290193409266,0.08344730761156396
LTP300,scalp,ltpFR2,0.13561072091380888,0.06635807515492151,0.28818557514312837,0.0072444709828069255
LTP301,scalp,ltpFR2,0.048504897179014024,0.021772971678967353,0.1263149121242108,0.006951113315704
LTP302,scalp,ltpFR2,-0.07055140419238379,-0.08585901822343599,-0.021801820730429924,0.06447140961750389
LTP303,scalp,ltpFR2,0.01133609658564824,-0.048906425490679105,0.4588250832785443,-0.08494490040942396
LTP304,scalp,ltpFR2,0.09829612231546898,0.09384311758697757,0.14508581769840384,0.10053796437896524
LTP305,scalp,ltpFR2,0.03163219279066924,-0.005068711764770401,-0.23065783568176595,0.16765632060007968
LTP306,scalp,ltpFR2,0.029387300868345588,-0.04931387442365925,0.16597651711183284,-0.0025462089868110967
LTP307,scalp,ltpFR2,0.07410965252329306,-0.029180072483387654,0.10236997901501266,0.04876731466470559
LTP308,scalp,ltpFR2,-0.09811689872933385,-0.27263332689317227,0.05767496467782308,0.11120595601819852
