subject,exp_type,experiment,tcs
R1168T,intracranial,FR1,0.6976895779041301
R1169P,intracranial,FR1,0.5337348828420257
R1170J,intracranial,FR1,0.5282320384294068
R1171M,intracranial,FR1,0.6513888888888889
R1172E,intracranial,FR1,0.6586366642616642
R1173J,intracranial,FR1,0.6350485048185941
R1174T,intracranial,FR1,0.5058822593852356
R1175N,intracranial,FR1,0.8066955583402952
R1176M,intracranial,FR1,0.7269641479276895
R1177M,intracranial,FR1,0.5352746989600438
R1178P,intracranial,FR1,0.7226314484126984
R1184M,intracranial,FR1,0.6631489748677248
R1185N,intracranial,FR1,0.5806162818662819
R1186P,intracranial,FR1,0.9444444444444444
R1187P,intracranial,FR1,0.6880892255892256
R1189M,intracranial,FR1,0.795847938712522
R1191J,intracranial,FR1,0.6108743150037793
R1193T,intracranial,FR1,0.7507231434240362
R1195E,intracranial,FR1,0.6539841166501322
R1196N,intracranial,FR1,0.7229999881897203
R1198M,intracranial,FR1,0.5580605158730159
R1200T,intracranial,FR1,0.637140110752399
R1201P,intracranial,FR1,0.6577982446732447
R1202M,intracranial,FR1,0.5352329512051734
R1203T,intracranial,FR1,0.7294763107263106
R1204T,intracranial,FR1,0.7218994079113126
R1207J,intracranial,FR1,0.634274190315857
R1212P,intracranial,FR1,0.6386429286429287
R1214M,intracranial,FR1,0.3541666666666667
R1215M,intracranial,FR1,0.6639229302832244
R1216E,intracranial,FR1,0.6084344849050731
R1217T,intracranial,FR1,0.656407386739418
R1221P,intracranial,FR1,0.741243961352657
R1222M,intracranial,FR1,0.5791936728395062
R1223E,intracranial,FR1,0.5578275312650313
R1226D,intracranial,FR1,0.5994949010069978
R1228M,intracranial,FR1,0.7174151503419797
R1229M,intracranial,FR1,0.5934407096171802
R1230J,intracranial,FR1,0.7649983062330623
R1231M,intracranial,FR1,0.6785968838439769
R1232N,intracranial,FR1,0.7203926303854875
R1234D,intracranial,FR1,0.5877972157697767
R1236J,intracranial,FR1,0.6161988240418119
R1240T,intracranial,FR1,0.4839710884353741
R1241J,intracranial,FR1,0.9800000000000001
R1243T,intracranial,FR1,0.6463835427689594
R1247P,intracranial,FR1,0.7304171176046176
R1250N,intracranial,FR1,0.6156380007558578
R1251M,intracranial,FR1,0.6846172839506173
R1260D,intracranial,FR1,0.7573723934018051
R1264P,intracranial,FR1,0.4820644368858655
R1268T,intracranial,FR1,0.8023253532182104
R1274T,intracranial,FR1,0.7300636574074074
R1275D,intracranial,FR1,0.566125408496732
R1277J,intracranial,FR1,0.6084031258702312
R1281E,intracranial,FR1,0.6275090746893072
R1283T,intracranial,FR1,0.7505101739277271
R1286J,intracranial,FR1,0.7485815232525759
R1288P,intracranial,FR1,0.7393518518518518
R1290M,intracranial,FR1,0.6141639109347443
R1291M,intracranial,FR1,0.5192391304347825
R1292E,intracranial,FR1,0.6157972120472119
R1293P,intracranial,FR1,0.8804877420544938
R1297T,intracranial,FR1,0.5784399145460654
R1298E,intracranial,FR1,0.6119604566972988
R1299T,intracranial,FR1,0.6238514503023431
R1302M,intracranial,FR1,0.7372590702947847
R1304N,intracranial,FR1,0.7000000000000001
R1306E,intracranial,FR1,0.5027777777777778
R1308T,intracranial,FR1,0.6397220294013296
R1309M,intracranial,FR1,0.7631672178130512
R1310J,intracranial,FR1,0.8108052248677248
R1311T,intracranial,FR1,0.8577190556357223
R1313J,intracranial,FR1,0.7464703425229742
R1315T,intracranial,FR1,0.5270953989703989
R1316T,intracranial,FR1,0.6900112046242999
R1317D,intracranial,FR1,0.6321420304232804
R1318N,intracranial,FR1,0.7856121126228269
R1320D,intracranial,FR1,0.6504629629629629
R1321M,intracranial,FR1,0.5918622878444307
R1323T,intracranial,FR1,0.5231477963525836
R1324M,intracranial,FR1,0.6960648148148149
R1325C,intracranial,FR1,0.5883838383838383
R1328E,intracranial,FR1,0.712508054034622
R1329T,intracranial,FR1,0.8505100223850224
R1330D,intracranial,FR1,0.6267654006046863
R1332M,intracranial,FR1,0.6574147635244575
R1334T,intracranial,FR1,0.5970044134106633
R1336T,intracranial,FR1,0.7120062229437228
R1337E,intracranial,FR1,0.8097836499919833
R1338T,intracranial,FR1,0.6441351540616247
R1339D,intracranial,FR1,0.6330268959435627
R1341T,intracranial,FR1,0.7578714302672636
R1342M,intracranial,FR1,0.8298390652557319
R1345D,intracranial,FR1,0.6963618939639348
R1346T,intracranial,FR1,0.5932117569249922
R1347D,intracranial,FR1,0.6691362433862434
R1349T,intracranial,FR1,0.5092806752330562
R1350D,intracranial,FR1,0.7744095606078689
R1351M,intracranial,FR1,0.7058035714285714
R1354E,intracranial,FR1,0.7386472780326601
R1355T,intracranial,FR1,0.8102538029100529
R1357M,intracranial,FR1,0.5423670162509449
R1358T,intracranial,FR1,0.8322420634920634
R1361C,intracranial,FR1,0.8451045603426556
R1363T,intracranial,FR1,0.6086111111111111
R1364C,intracranial,FR1,0.698491741990006
R1367D,intracranial,FR1,0.660182267351385
R1368T,intracranial,FR1,0.617003367003367
R1373T,intracranial,FR1,0.5027777777777778
R1374T,intracranial,FR1,0.7864761396011397
