subject,exp_type,experiment,bin,psim,irt
TJ001,intracranial,pyFR,2.0,0.28505291005291006,2991.5925925925926
TJ001,intracranial,pyFR,3.0,0.3333333333333333,4084.6
TJ001,intracranial,pyFR,4.0,0.4,6876.75
TJ001,intracranial,pyFR,5.0,0.5676807760141094,1728.0
TJ003,intracranial,pyFR,0.0,0.0,3818.5806451612902
TJ003,intracranial,pyFR,1.0,0.23500881834215168,7348.666666666667
TJ003,intracranial,pyFR,2.0,0.2857142857142857,5356.090909090909
TJ003,intracranial,pyFR,3.0,0.3299319727891156,4302.285714285715
TJ003,intracranial,pyFR,4.0,0.4,3762.0
TJ003,intracranial,pyFR,5.0,0.775,3978.0
TJ004,intracranial,pyFR,0.0,0.0,2792.5555555555557
TJ004,intracranial,pyFR,1.0,0.24444444444444446,1202.6
TJ004,intracranial,pyFR,2.0,0.2857142857142857,547.0
TJ004,intracranial,pyFR,3.0,0.3333333333333333,354.0
TJ004,intracranial,pyFR,4.0,0.4,628.0
TJ004,intracranial,pyFR,5.0,0.6666666666666666,1511.0
TJ005,intracranial,pyFR,0.0,0.0,5363.379120879121
TJ005,intracranial,pyFR,1.0,0.23830409356725146,4599.894736842105
TJ005,intracranial,pyFR,2.0,0.2857142857142857,6190.486486486487
TJ005,intracranial,pyFR,3.0,0.3333333333333333,4694.382978723404
TJ005,intracranial,pyFR,4.0,0.4,3729.1
TJ005,intracranial,pyFR,5.0,0.593958013312852,2957.4193548387098
TJ006,intracranial,pyFR,0.0,0.0,797.6666666666666
TJ006,intracranial,pyFR,2.0,0.2857142857142857,1000.0
TJ006,intracranial,pyFR,4.0,0.4,2153.0
TJ010,intracranial,pyFR,0.0,0.0,6628.833333333333
TJ010,intracranial,pyFR,2.0,0.2857142857142857,1632.0
TJ010,intracranial,pyFR,5.0,0.4722222222222222,5381.5
TJ011,intracranial,pyFR,2.0,0.2857142857142857,522.0
TJ013,intracranial,pyFR,0.0,0.0,1657.120481927711
TJ013,intracranial,pyFR,1.0,0.22763347763347763,1095.0
TJ013,intracranial,pyFR,2.0,0.2857142857142857,871.75
TJ013,intracranial,pyFR,3.0,0.3333333333333333,1383.857142857143
TJ013,intracranial,pyFR,4.0,0.4000000000000001,4469.333333333333
TJ013,intracranial,pyFR,5.0,0.6547619047619048,1229.875
TJ015,intracranial,pyFR,0.0,0.0,2917.103448275862
TJ015,intracranial,pyFR,1.0,0.23412698412698413,1316.4285714285713
TJ015,intracranial,pyFR,2.0,0.2857142857142857,1671.3333333333333
TJ015,intracranial,pyFR,3.0,0.3333333333333333,992.5
TJ015,intracranial,pyFR,4.0,0.4,1952.0
TJ015,intracranial,pyFR,5.0,0.5720899470899471,2669.5
TJ016,intracranial,pyFR,0.0,0.0,3335.516129032258
TJ016,intracranial,pyFR,1.0,0.2361111111111111,5055.5
TJ016,intracranial,pyFR,2.0,0.2857142857142857,2766.625
TJ016,intracranial,pyFR,3.0,0.3333333333333333,4331.888888888889
TJ016,intracranial,pyFR,4.0,0.4,5313.75
TJ016,intracranial,pyFR,5.0,0.5761904761904761,1710.2
TJ017,intracranial,pyFR,0.0,0.0,3676.5833333333335
TJ017,intracranial,pyFR,2.0,0.2857142857142857,4034.3333333333335
TJ017,intracranial,pyFR,3.0,0.3333333333333333,1287.5
TJ017,intracranial,pyFR,4.0,0.4,1703.0
TJ017,intracranial,pyFR,5.0,0.5,1118.0
TJ018,intracranial,pyFR,0.0,0.0,1834.2962962962963
TJ018,intracranial,pyFR,1.0,0.24537037037037038,928.5
TJ018,intracranial,pyFR,2.0,0.2857142857142857,3034.5
TJ018,intracranial,pyFR,3.0,0.3333333333333333,1640.6666666666667
TJ018,intracranial,pyFR,4.0,0.4,1113.0
TJ018,intracranial,pyFR,5.0,0.5553968253968253,1579.7
TJ019,intracranial,pyFR,0.0,0.0,4305.878787878788
TJ019,intracranial,pyFR,1.0,0.22675736961451246,3177.4285714285716
TJ019,intracranial,pyFR,2.0,0.2857142857142857,6257.461538461538
TJ019,intracranial,pyFR,3.0,0.3333333333333333,3757.8
TJ019,intracranial,pyFR,4.0,0.4,1071.0
TJ019,intracranial,pyFR,5.0,0.6607142857142857,2077.25
TJ020,intracranial,pyFR,0.0,0.0,3142.0602409638554
TJ020,intracranial,pyFR,1.0,0.24027777777777778,1913.875
TJ020,intracranial,pyFR,2.0,0.2857142857142857,2274.1428571428573
TJ020,intracranial,pyFR,3.0,0.3333333333333333,2073.75
TJ020,intracranial,pyFR,4.0,0.4000000000000001,3155.3333333333335
TJ020,intracranial,pyFR,5.0,0.5496031746031745,1844.75
TJ021,intracranial,pyFR,0.0,0.0,3056.1739130434785
TJ021,intracranial,pyFR,1.0,0.24845679012345678,2196.8888888888887
TJ021,intracranial,pyFR,2.0,0.2839285714285714,2727.5
TJ021,intracranial,pyFR,3.0,0.3333333333333333,976.0
TJ021,intracranial,pyFR,5.0,0.6031746031746031,1408.0
TJ022,intracranial,pyFR,0.0,0.0,3041.195945945946
TJ022,intracranial,pyFR,1.0,0.21950113378684805,1685.2142857142858
TJ022,intracranial,pyFR,2.0,0.2857142857142857,4519.307692307692
TJ022,intracranial,pyFR,3.0,0.3315018315018315,3344.846153846154
TJ022,intracranial,pyFR,4.0,0.4,943.5
TJ022,intracranial,pyFR,5.0,0.5652557319223985,2768.5555555555557
TJ024,intracranial,pyFR,0.0,0.0,2314.6296296296296
TJ024,intracranial,pyFR,1.0,0.2232142857142857,3728.25
TJ024,intracranial,pyFR,2.0,0.2857142857142857,4535.666666666667
TJ024,intracranial,pyFR,3.0,0.3253968253968254,1011.6666666666666
TJ024,intracranial,pyFR,4.0,0.4000000000000001,805.0
TJ024,intracranial,pyFR,5.0,0.5714285714285714,1142.0
TJ025,intracranial,pyFR,0.0,0.0,3460.0
TJ025,intracranial,pyFR,1.0,0.24707602339181287,4838.105263157895
TJ025,intracranial,pyFR,2.0,0.2857142857142857,4444.666666666667
TJ025,intracranial,pyFR,3.0,0.3333333333333333,3594.4285714285716
TJ025,intracranial,pyFR,4.0,0.4000000000000001,1232.0
TJ025,intracranial,pyFR,5.0,0.5232426303854875,2527.9285714285716
TJ027,intracranial,pyFR,0.0,0.0,3304.310344827586
TJ027,intracranial,pyFR,1.0,0.24537037037037038,3526.5
