subject,exp_type,experiment,session,localization,montage,tcs
LTP117,scalp,ltpFR2,11,0,0,0.8005334698605129
LTP117,scalp,ltpFR2,12,0,0,0.7522379478457232
LTP117,scalp,ltpFR2,13,0,0,0.7452427276752993
LTP117,scalp,ltpFR2,14,0,0,0.796588042431367
LTP117,scalp,ltpFR2,15,0,0,0.8041583281050809
LTP117,scalp,ltpFR2,16,0,0,0.8110725050786406
LTP117,scalp,ltpFR2,17,0,0,0.803448572893366
LTP117,scalp,ltpFR2,18,0,0,0.8122252333051331
LTP117,scalp,ltpFR2,19,0,0,0.7973714602197032
LTP117,scalp,ltpFR2,20,0,0,0.8066316669133263
LTP117,scalp,ltpFR2,21,0,0,0.7731908113493206
LTP117,scalp,ltpFR2,22,0,0,0.8209974596615974
LTP122,scalp,ltpFR2,0,0,0,0.7569828296085453
LTP122,scalp,ltpFR2,1,0,0,0.7225162709028194
LTP122,scalp,ltpFR2,2,0,0,0.7306194940685521
LTP122,scalp,ltpFR2,3,0,0,0.7106425546824892
LTP122,scalp,ltpFR2,4,0,0,0.7268949750512346
LTP122,scalp,ltpFR2,5,0,0,0.6993674988082078
LTP122,scalp,ltpFR2,6,0,0,0.6908092544141179
LTP122,scalp,ltpFR2,7,0,0,0.6915093700280764
LTP122,scalp,ltpFR2,8,0,0,0.7029423741938682
LTP122,scalp,ltpFR2,9,0,0,0.7267542325278645
LTP122,scalp,ltpFR2,10,0,0,0.7773817153775736
LTP122,scalp,ltpFR2,11,0,0,0.7073632098937249
LTP122,scalp,ltpFR2,12,0,0,0.6775808876418594
LTP122,scalp,ltpFR2,13,0,0,0.6796217224265861
LTP122,scalp,ltpFR2,14,0,0,0.6945278791850239
LTP122,scalp,ltpFR2,15,0,0,0.6525946812174934
LTP122,scalp,ltpFR2,16,0,0,0.7130860770539695
LTP122,scalp,ltpFR2,17,0,0,0.6936575749329178
LTP122,scalp,ltpFR2,18,0,0,0.7489791363236735
LTP122,scalp,ltpFR2,19,0,0,0.7306888841724674
LTP122,scalp,ltpFR2,20,0,0,0.7657420165135865
LTP122,scalp,ltpFR2,21,0,0,0.732984002539555
LTP122,scalp,ltpFR2,22,0,0,0.723451322120685
LTP123,scalp,ltpFR2,0,0,0,0.6007185526565514
LTP123,scalp,ltpFR2,1,0,0,0.6048733640355625
LTP123,scalp,ltpFR2,2,0,0,0.5676986531637359
LTP123,scalp,ltpFR2,3,0,0,0.5650945253655778
LTP123,scalp,ltpFR2,4,0,0,0.5893657502749295
LTP123,scalp,ltpFR2,5,0,0,0.571344134313066
LTP123,scalp,ltpFR2,6,0,0,0.5460547172068658
LTP123,scalp,ltpFR2,7,0,0,0.5981972938863597
LTP123,scalp,ltpFR2,8,0,0,0.5759974940645669
LTP123,scalp,ltpFR2,9,0,0,0.589065638061591
LTP123,scalp,ltpFR2,10,0,0,0.5451634355772136
LTP123,scalp,ltpFR2,11,0,0,0.546243632800768
LTP123,scalp,ltpFR2,12,0,0,0.5989755095783571
LTP123,scalp,ltpFR2,13,0,0,0.6251268485579895
LTP123,scalp,ltpFR2,14,0,0,0.5670042613072567
LTP123,scalp,ltpFR2,15,0,0,0.6043911946334474
LTP123,scalp,ltpFR2,16,0,0,0.6380922088783051
LTP123,scalp,ltpFR2,17,0,0,0.5941850052389303
LTP123,scalp,ltpFR2,18,0,0,0.5975735912172093
LTP123,scalp,ltpFR2,19,0,0,0.6002436480023474
LTP123,scalp,ltpFR2,20,0,0,0.586791926514357
LTP123,scalp,ltpFR2,21,0,0,0.615598314930841
LTP123,scalp,ltpFR2,22,0,0,0.6136504777052653
LTP133,scalp,ltpFR2,0,0,0,0.6623976420556276
LTP133,scalp,ltpFR2,1,0,0,0.7089810704784725
LTP133,scalp,ltpFR2,2,0,0,0.7326228954392406
LTP133,scalp,ltpFR2,3,0,0,0.720189099982741
LTP133,scalp,ltpFR2,4,0,0,0.7330314245515582
LTP133,scalp,ltpFR2,5,0,0,0.7478805555767721
LTP133,scalp,ltpFR2,6,0,0,0.7418410963903765
LTP133,scalp,ltpFR2,7,0,0,0.7811490908999138
LTP133,scalp,ltpFR2,8,0,0,0.7615092070679137
LTP133,scalp,ltpFR2,9,0,0,0.7714197825712228
LTP133,scalp,ltpFR2,10,0,0,0.8055998267172236
LTP133,scalp,ltpFR2,11,0,0,0.7516377617370896
LTP133,scalp,ltpFR2,12,0,0,0.7910409724103896
LTP133,scalp,ltpFR2,13,0,0,0.7633494460574268
LTP133,scalp,ltpFR2,14,0,0,0.7782369144664222
LTP133,scalp,ltpFR2,15,0,0,0.7908132750613129
LTP133,scalp,ltpFR2,16,0,0,0.7945665692580274
LTP133,scalp,ltpFR2,17,0,0,0.7626945587527219
LTP133,scalp,ltpFR2,18,0,0,0.7945347280267475
LTP133,scalp,ltpFR2,19,0,0,0.7901506221695955
LTP133,scalp,ltpFR2,20,0,0,0.8171259061947159
LTP133,scalp,ltpFR2,21,0,0,0.8303667246640422
LTP133,scalp,ltpFR2,22,0,0,0.8658265481505005
LTP138,scalp,ltpFR2,0,0,0,0.6217966539000639
LTP138,scalp,ltpFR2,1,0,0,0.6556962768722995
LTP138,scalp,ltpFR2,2,0,0,0.6494105869063234
LTP138,scalp,ltpFR2,3,0,0,0.6311356859776932
LTP138,scalp,ltpFR2,4,0,0,0.6274264890332967
LTP138,scalp,ltpFR2,5,0,0,0.6358305078014078
LTP138,scalp,ltpFR2,6,0,0,0.675113962430883
LTP138,scalp,ltpFR2,7,0,0,0.6750937882968974
LTP138,scalp,ltpFR2,8,0,0,0.6561530475635101
LTP138,scalp,ltpFR2,9,0,0,0.5851966828842049
LTP138,scalp,ltpFR2,10,0,0,0.6481921905873634
LTP138,scalp,ltpFR2,11,0,0,0.665918228034608
LTP138,scalp,ltpFR2,12,0,0,0.677104369960888
LTP138,scalp,ltpFR2,13,0,0,0.654850133915434
LTP138,scalp,ltpFR2,14,0,0,0.6633111284953003
LTP138,scalp,ltpFR2,15,0,0,0.6347438340702075
LTP138,scalp,ltpFR2,16,0,0,0.6193053812774728
LTP138,scalp,ltpFR2,17,0,0,0.6390859255039393
LTP138,scalp,ltpFR2,18,0,0,0.6156065225828559
LTP138,scalp,ltpFR2,19,0,0,0.617393308695437
LTP138,scalp,ltpFR2,20,0,0,0.658556521459041
LTP138,scalp,ltpFR2,21,0,0,0.6593472672379468
LTP138,scalp,ltpFR2,22,0,0,0.6491799962177417
LTP187,scalp,ltpFR2,0,0,0,0.8453692901699426
LTP187,scalp,ltpFR2,1,0,0,0.7867867634665304
LTP187,scalp,ltpFR2,2,0,0,0.8200184021158355
LTP187,scalp,ltpFR2,3,0,0,0.8024997296919865
LTP187,scalp,ltpFR2,4,0,0,0.865265955185409
LTP187,scalp,ltpFR2,5,0,0,0.8276123765561575
LTP187,scalp,ltpFR2,6,0,0,0.8902672443991277
LTP187,scalp,ltpFR2,7,0,0,0.8437113312306097
LTP187,scalp,ltpFR2,8,0,0,0.8331260941962653
LTP187,scalp,ltpFR2,9,0,0,0.857108213893221
LTP187,scalp,ltpFR2,10,0,0,0.8630420206937195
LTP187,scalp,ltpFR2,11,0,0,0.8079791788359959
LTP187,scalp,ltpFR2,12,0,0,0.7605188578173776
LTP187,scalp,ltpFR2,13,0,0,0.8116021876048191
LTP207,scalp,ltpFR2,0,0,0,0.8166491393346076
LTP207,scalp,ltpFR2,1,0,0,0.811227751234421
LTP207,scalp,ltpFR2,2,0,0,0.8117241142193721
LTP207,scalp,ltpFR2,3,0,0,0.7735769174138916
LTP207,scalp,ltpFR2,4,0,0,0.7807515902808111
LTP207,scalp,ltpFR2,5,0,0,0.8608827481076028
LTP207,scalp,ltpFR2,6,0,0,0.7752375869648443
LTP207,scalp,ltpFR2,7,0,0,0.7619228384447678
LTP207,scalp,ltpFR2,8,0,0,0.8005903669615109
LTP207,scalp,ltpFR2,9,0,0,0.8242818140867494
LTP207,scalp,ltpFR2,10,0,0,0.8361969409640323
LTP207,scalp,ltpFR2,11,0,0,0.8519551011308697
LTP207,scalp,ltpFR2,12,0,0,0.8302953504918885
LTP207,scalp,ltpFR2,13,0,0,0.747353925932156
LTP207,scalp,ltpFR2,14,0,0,0.6873048036176959
LTP207,scalp,ltpFR2,15,0,0,0.7429297184007325
LTP207,scalp,ltpFR2,16,0,0,0.7745225012012974
LTP207,scalp,ltpFR2,17,0,0,0.7926969824418735
LTP207,scalp,ltpFR2,18,0,0,0.7854695784708009
LTP207,scalp,ltpFR2,19,0,0,0.6680754015787601
LTP207,scalp,ltpFR2,20,0,0,0.7818626661888839
LTP207,scalp,ltpFR2,21,0,0,0.6859438236020087
LTP207,scalp,ltpFR2,22,0,0,0.7788287888973097
LTP210,scalp,ltpFR2,0,0,0,0.5883555713888323
LTP210,scalp,ltpFR2,1,0,0,0.6680428841418916
LTP210,scalp,ltpFR2,2,0,0,0.6278927136010939
LTP210,scalp,ltpFR2,3,0,0,0.6227447769489685
LTP210,scalp,ltpFR2,4,0,0,0.6126054240881871
LTP210,scalp,ltpFR2,5,0,0,0.605584957771402
LTP210,scalp,ltpFR2,6,0,0,0.5022572987147026
LTP210,scalp,ltpFR2,7,0,0,0.6344011777526071
LTP210,scalp,ltpFR2,8,0,0,0.6585531480850821
LTP210,scalp,ltpFR2,9,0,0,0.6274175752937748
LTP210,scalp,ltpFR2,10,0,0,0.6760783174063234
LTP210,scalp,ltpFR2,11,0,0,0.6088273038452455
LTP210,scalp,ltpFR2,12,0,0,0.598826795952723
LTP210,scalp,ltpFR2,13,0,0,0.6475637502331214
LTP210,scalp,ltpFR2,14,0,0,0.6987361655152878
LTP210,scalp,ltpFR2,15,0,0,0.5779745873523033
LTP210,scalp,ltpFR2,16,0,0,0.5702004819616696
LTP210,scalp,ltpFR2,17,0,0,0.6612046778661845
LTP210,scalp,ltpFR2,18,0,0,0.6075033999280317
LTP210,scalp,ltpFR2,19,0,0,0.6071573220578559
LTP210,scalp,ltpFR2,20,0,0,0.7919582736841344
LTP210,scalp,ltpFR2,21,0,0,0.7028343969432537
LTP210,scalp,ltpFR2,22,0,0,0.6320862472185884
LTP228,scalp,ltpFR2,0,0,0,0.6725700892707747
LTP228,scalp,ltpFR2,1,0,0,0.7238029528604186
LTP228,scalp,ltpFR2,2,0,0,0.7426902401484196
LTP228,scalp,ltpFR2,3,0,0,0.7257538886297684
LTP228,scalp,ltpFR2,4,0,0,0.7205474201774417
LTP228,scalp,ltpFR2,5,0,0,0.7164085769526626
