subject,exp_type,experiment,pcs
R1336T,intracranial,FR1,0.40141970298220303
R1337E,intracranial,FR1,0.4548205266955267
R1338T,intracranial,FR1,0.3649081854964208
R1339D,intracranial,FR1,0.5740724707391375
R1341T,intracranial,FR1,0.48316949090975153
R1342M,intracranial,FR1,0.4838413900913901
R1345D,intracranial,FR1,0.5067494735989634
R1346T,intracranial,FR1,0.4570844356261023
R1347D,intracranial,FR1,0.4453088624338624
R1349T,intracranial,FR1,0.4768458679768203
R1350D,intracranial,FR1,0.5143928832497912
R1351M,intracranial,FR1,0.4604298941798942
R1354E,intracranial,FR1,0.543099368946545
R1355T,intracranial,FR1,0.4717625661375662
R1357M,intracranial,FR1,0.5138723544973545
R1358T,intracranial,FR1,0.48606150793650793
R1361C,intracranial,FR1,0.4342762660619804
R1363T,intracranial,FR1,0.44749999999999995
R1364C,intracranial,FR1,0.5184133217330142
R1367D,intracranial,FR1,0.44272584033613444
R1368T,intracranial,FR1,0.37453102453102455
R1373T,intracranial,FR1,0.5725308641975309
R1374T,intracranial,FR1,0.45652577270224326
R1375C,intracranial,FR1,0.5373622134038801
R1376D,intracranial,FR1,0.4444444444444445
R1377M,intracranial,FR1,0.5366647671800201
R1378T,intracranial,FR1,0.4917429362095716
R1379E,intracranial,FR1,0.5304232804232804
R1380D,intracranial,FR1,0.5008904950869236
R1381T,intracranial,FR1,0.46647652116402116
R1382T,intracranial,FR1,0.5104879148629148
R1383J,intracranial,FR1,0.4205467372134039
R1384J,intracranial,FR1,0.530109126984127
R1385E,intracranial,FR1,0.4873710317460317
R1386T,intracranial,FR1,0.5037665343915344
R1387E,intracranial,FR1,0.4766466308745721
R1390M,intracranial,FR1,0.547203621031746
R1391T,intracranial,FR1,0.5274532312925171
R1393T,intracranial,FR1,0.5034722222222222
R1394E,intracranial,FR1,0.5867609126984126
R1395M,intracranial,FR1,0.5187918961235287
R1396T,intracranial,FR1,0.47638888888888886
R1397D,intracranial,FR1,0.404846733379342
R1398J,intracranial,FR1,0.5253224206349206
R1401J,intracranial,FR1,0.6202239229024943
R1402E,intracranial,FR1,0.4802532123960695
R1404E,intracranial,FR1,0.49689789377289373
R1405E,intracranial,FR1,0.5419753086419753
R1406M,intracranial,FR1,0.6519444444444444
R1409D,intracranial,FR1,0.5591130604288499
R1412M,intracranial,FR1,0.5249999999999999
R1413D,intracranial,FR1,0.48005472883597883
R1414E,intracranial,FR1,0.4158409391534391
R1415T,intracranial,FR1,0.5196356233465609
R1416T,intracranial,FR1,0.43836580086580085
R1420T,intracranial,FR1,0.31452546296296297
R1421M,intracranial,FR1,0.6087301587301587
R1422T,intracranial,FR1,0.5343249007936508
R1423E,intracranial,FR1,0.5367798353909464
R1425D,intracranial,FR1,0.45351181416249914
R1427T,intracranial,FR1,0.5549027548729929
R1428T,intracranial,FR1,0.42342592592592593
R1431J,intracranial,FR1,0.5190476190476191
R1433E,intracranial,FR1,0.6222222222222222
R1436J,intracranial,FR1,0.48617724867724865
R1438M,intracranial,FR1,0.5001275510204082
R1441T,intracranial,FR1,0.52168430335097
R1443D,intracranial,FR1,0.5374485596707819
R1446T,intracranial,FR1,0.5148148148148148
R1447M,intracranial,FR1,0.33099096119929455
R1448T,intracranial,FR1,0.47138888888888886
R1449T,intracranial,FR1,0.5096909905937683
R1454M,intracranial,FR1,0.430150462962963
R1457T,intracranial,FR1,0.36243386243386244
R1459M,intracranial,FR1,0.5044052579365079
R1460M,intracranial,FR1,0.4645061728395062
R1462M,intracranial,FR1,0.4615291005291005
R1463E,intracranial,FR1,0.4594780353661932
R1466J,intracranial,FR1,0.5099823633156967
R1467M,intracranial,FR1,0.4490743746993747
R1542J,intracranial,FR1,0.53641004758711
R1565T,intracranial,FR1,0.5290674603174603
R1569T,intracranial,FR1,0.4609488673941799
R1571T,intracranial,FR1,0.46846064814814814
R1572T,intracranial,FR1,0.48583002645502643
R1573T,intracranial,FR1,0.5265773809523809
R1030J,intracranial,IFR1,0.4633708112874779
R1686S,intracranial,IFR1,0.480893759018759
R1710J,intracranial,IFR1,0.5173363756613757
R1720S,intracranial,IFR1,0.4878616898148148
R1721J,intracranial,IFR1,0.49545487948265726
R1724J,intracranial,IFR1,0.4917865803728899
R1725J,intracranial,IFR1,0.5188821428571428
R1729J,intracranial,IFR1,0.46718577097505665
R1730A,intracranial,IFR1,0.5134334742351047
R1733A,intracranial,IFR1,0.37277777777777776
R1739A,intracranial,IFR1,0.5018885281385281
R1740H,intracranial,IFR1,0.5041578892668178
R1741A,intracranial,IFR1,0.4627179232804233
R1742J,intracranial,IFR1,0.47608522067363535
