subject,exp_type,experiment,pcs
UP019,intracranial,pyFR,0.09095016535492727
UP020,intracranial,pyFR,0.03882244018607656
UP021,intracranial,pyFR,0.03209322728553497
UP022,intracranial,pyFR,0.02031832097049488
UP024,intracranial,pyFR,0.06728111631957787
UP028,intracranial,pyFR,-0.008108211233211225
UP029,intracranial,pyFR,-0.02064862221112222
UP034,intracranial,pyFR,-0.026605616605616608
UP036,intracranial,pyFR,0.163003663003663
UP037,intracranial,pyFR,0.06937346841192996
UP038,intracranial,pyFR,-0.0356125356125356
UP040,intracranial,pyFR,0.00476080771080772
UP041,intracranial,pyFR,0.025196536267964847
UP042,intracranial,pyFR,-0.1478937728937729
UP043,intracranial,pyFR,0.034189284591070304
UP044,intracranial,pyFR,-0.07299531641198308
UP045,intracranial,pyFR,0.02153075682487447
UP046,intracranial,pyFR,-0.03405427905427905
R1001P,intracranial,FR1,0.0355591168091168
R1002P,intracranial,FR1,-0.009423351591718936
R1003P,intracranial,FR1,-0.05518476268476269
R1006P,intracranial,FR1,0.019029051014345127
R1010J,intracranial,FR1,0.058759160229748454
R1018P,intracranial,FR1,-0.105869708994709
R1020J,intracranial,FR1,-0.02507782274086622
R1022J,intracranial,FR1,0.060431246993747
R1023J,intracranial,FR1,-0.10201494107744108
R1026D,intracranial,FR1,0.02184794372294371
R1027J,intracranial,FR1,-0.01788720538720539
R1030J,intracranial,FR1,-0.06369391190819762
R1031M,intracranial,FR1,-0.05568173228887514
R1032D,intracranial,FR1,-0.02825817700817701
R1033D,intracranial,FR1,0.10303030303030304
R1034D,intracranial,FR1,0.19129723157500933
R1035M,intracranial,FR1,-0.05356022344658709
R1036M,intracranial,FR1,0.05753367003367002
R1042M,intracranial,FR1,0.012123967853134522
R1044J,intracranial,FR1,-0.19692760942760945
R1045E,intracranial,FR1,-0.005422733831824739
R1048E,intracranial,FR1,0.0271304348759706
R1049J,intracranial,FR1,-0.18636363636363634
R1050M,intracranial,FR1,0.02195317564882783
R1051J,intracranial,FR1,0.020957673779643474
R1052E,intracranial,FR1,0.07601999964804843
R1053M,intracranial,FR1,0.030446127946127943
R1054J,intracranial,FR1,-0.006145369869328204
R1056M,intracranial,FR1,-0.07146010702260701
R1057E,intracranial,FR1,0.19970071081182192
R1059J,intracranial,FR1,-0.01022727272727273
R1060M,intracranial,FR1,-0.013197623659952425
R1061T,intracranial,FR1,0.013825079021507593
R1062J,intracranial,FR1,0.19146850448933783
R1063C,intracranial,FR1,-0.016469954648526082
R1065J,intracranial,FR1,0.014566155998637751
R1066P,intracranial,FR1,0.009837287532092722
R1067P,intracranial,FR1,-0.05351299452861953
R1068J,intracranial,FR1,-0.0033670620255986093
R1069M,intracranial,FR1,-0.03040184453227932
R1074M,intracranial,FR1,-0.013864838864838861
R1075J,intracranial,FR1,-0.06294680435305434
R1076D,intracranial,FR1,0.02954333248450895
R1077T,intracranial,FR1,-0.017804299609855165
R1080E,intracranial,FR1,0.07607053976619194
R1081J,intracranial,FR1,0.008511904761904762
R1083J,intracranial,FR1,0.047875125716034805
R1084T,intracranial,FR1,-0.12897276334776334
R1086M,intracranial,FR1,-0.028833203833203827
R1089P,intracranial,FR1,0.011033411033411024
R1092J,intracranial,FR1,0.04020915678524374
R1093J,intracranial,FR1,0.06952149601606124
R1096E,intracranial,FR1,0.01714290167993872
R1098D,intracranial,FR1,0.0952952602952603
R1100D,intracranial,FR1,0.3590909090909091
R1101T,intracranial,FR1,0.16143048128342247
R1102P,intracranial,FR1,0.1660951621477937
R1104D,intracranial,FR1,-0.029651219992129087
R1105E,intracranial,FR1,-0.056727361332624494
R1106M,intracranial,FR1,-0.06078354978354979
R1108J,intracranial,FR1,-0.020391730589099013
R1111M,intracranial,FR1,0.016601442392581642
R1112M,intracranial,FR1,-0.03970842686120465
R1113T,intracranial,FR1,-0.025300738744134972
R1114C,intracranial,FR1,0.035187873129049606
R1115T,intracranial,FR1,0.07533040302777146
R1118N,intracranial,FR1,-0.05822667670493758
R1120E,intracranial,FR1,0.033025744711791226
R1121M,intracranial,FR1,-0.04607013357013357
R1122E,intracranial,FR1,-0.00627975153837222
R1123C,intracranial,FR1,0.07586696996419219
R1124J,intracranial,FR1,0.08323001008764898
R1125T,intracranial,FR1,0.04816252587991718
R1127P,intracranial,FR1,0.15728857199445434
R1128E,intracranial,FR1,-0.014940428090428082
R1129D,intracranial,FR1,0.05113636363636363
R1130M,intracranial,FR1,0.011877547403863192
R1131M,intracranial,FR1,0.10821454339311483
R1135E,intracranial,FR1,-0.03528466483011937
R1136N,intracranial,FR1,-0.05444684944684945
R1137E,intracranial,FR1,0.0012444332487435955
R1138T,intracranial,FR1,-0.16914335664335664
R1142N,intracranial,FR1,0.09818181818181818
R1145J,intracranial,FR1,0.026228900112233444
R1146E,intracranial,FR1,-0.02664576802507837
R1147P,intracranial,FR1,0.02887506012506012
R1148P,intracranial,FR1,-0.05162504676393566
R1149N,intracranial,FR1,-0.03168912767127053
R1150J,intracranial,FR1,0.018875420875420875
R1151E,intracranial,FR1,-0.006936604608173238
R1153T,intracranial,FR1,0.17975517075517075
R1154D,intracranial,FR1,-0.032352408799777216
R1155D,intracranial,FR1,-0.0602483164983165
R1156D,intracranial,FR1,0.02973475941068533
R1158T,intracranial,FR1,0.03661160374870051
R1159P,intracranial,FR1,-0.08111952861952862
R1161E,intracranial,FR1,0.03325167150020379
R1162N,intracranial,FR1,0.056641814975148315
R1163T,intracranial,FR1,-0.13295454545454546
R1164E,intracranial,FR1,0.18176206509539844
R1166D,intracranial,FR1,0.08936026936026936
R1167M,intracranial,FR1,0.02838560205226872
R1168T,intracranial,FR1,-0.018165554845882715
R1169P,intracranial,FR1,-0.028337865837865843
R1170J,intracranial,FR1,-0.0006862273528940237
R1171M,intracranial,FR1,-0.019530070823174272
R1172E,intracranial,FR1,0.053499440999441
R1173J,intracranial,FR1,0.034251508001508
R1174T,intracranial,FR1,0.03012437298151584
R1175N,intracranial,FR1,-0.06384680134680135
R1176M,intracranial,FR1,-0.02094604049149503
R1177M,intracranial,FR1,-0.02921109240553685
R1178P,intracranial,FR1,-0.09962121212121211
R1184M,intracranial,FR1,0.0004338624338624308
R1185N,intracranial,FR1,-0.05631132756132756
R1186P,intracranial,FR1,0.5
R1187P,intracranial,FR1,-0.1821067821067821
R1189M,intracranial,FR1,-0.0010841141122831263
R1191J,intracranial,FR1,-0.019878269878269884
R1193T,intracranial,FR1,0.056910150891632365
R1195E,intracranial,FR1,7.219856010178665e-05
R1196N,intracranial,FR1,0.0019195881979972886
R1198M,intracranial,FR1,0.019368429189857768
R1200T,intracranial,FR1,-0.02425875232247781
R1201P,intracranial,FR1,0.0011129342580955468
R1202M,intracranial,FR1,0.040781871747780835
R1203T,intracranial,FR1,-0.10417814508723601
R1204T,intracranial,FR1,0.02781352781352782
R1207J,intracranial,FR1,0.06655998763141621
R1212P,intracranial,FR1,-0.015741504491504486
R1214M,intracranial,FR1,0.06999999999999998
R1215M,intracranial,FR1,0.033512185345518676
R1216E,intracranial,FR1,-0.011542274597830159
R1217T,intracranial,FR1,0.05514372999286793
R1221P,intracranial,FR1,-0.06204946288279622
R1222M,intracranial,FR1,0.0330016782734174
R1223E,intracranial,FR1,-0.11119879349046016
R1226D,intracranial,FR1,0.010007816257816252
R1228M,intracranial,FR1,-0.033141241474574805
R1229M,intracranial,FR1,-0.09371071829405161
R1230J,intracranial,FR1,0.0007119809203142516
R1231M,intracranial,FR1,0.019162812496145827
R1232N,intracranial,FR1,0.05177823472823473
R1234D,intracranial,FR1,-0.03094375775296828
R1236J,intracranial,FR1,0.044987229775962166
R1240T,intracranial,FR1,-0.05349326599326599
R1241J,intracranial,FR1,-0.1490909090909091
R1243T,intracranial,FR1,-0.02342036435786436
R1247P,intracranial,FR1,-0.030835453532821955
R1250N,intracranial,FR1,0.012024651274651278
R1251M,intracranial,FR1,-0.0394510582010582
